Name;Sector;Ticker;Country,
Meliá Hotels;Consumer Discretionary;MEL.MC;Spain,
Merlin Properties;Real Estate;MRL.MC;Spain,
Naturgy;Energy;NTGY.MC;Spain,
Red Eléctrica de España;Utilities;REE.MC;Spain,
Repsol;Energy;REP.MC;Spain,
Siemens Gamesa;Energy;SGRE.MC;Spain,
Técnicas Reunidas;Industrials;TRE.MC;Spain,
Telefónica;Consumer Discretionary;TEF.MC;Spain,
Viscofan;Consumer Defensive;VIS.MC;Spain,
AS Trigon Property Development;Real Estate;TPD1T.TL;Estonia,
AS Ekspress Grupp;Consumer Discretionary;EEG1T.TL;Estonia,
Arco Vara AS;Real Estate;ARC1T.TL;Estonia,
AS Pro Kapital Grupp;Real Estate;PKG1T.TL;Estonia,
AS Tallinna Vesi;Utilities;TVEAT.TL;Estonia,
AS Tallink Grupp;Industrials;TAL1T.TL;Estonia,
AS Silvano Fashion Group;Consumer Discretionary;SFG1T.TL;Estonia,
AS PRFoods;Consumer Defensive;PRF1T.TL;Estonia,
Tallinna Kaubamaja Grupp AS;Consumer Discretionary;TKM1T.TL;Estonia,
AS Baltika;Consumer Discretionary;BLT1T.TL;Estonia,
Skano Group AS;Consumer Discretionary;SKN1T.TL;Estonia,
AS Merko Ehitus;Industrials;MRK1T.TL;Estonia,
Nordecon AS;Industrials;NCN1T.TL;Estonia,
AS Harju Elekter;Industrials;HAE1T.TL;Estonia,
Cargotec;Industrials;CGCBV.HE;Finland,
Elisa;Consumer Discretionary;ELISA.HE;Finland,
Fortum;Utilities;FORTUM.HE;Finland,
Huhtamäki;Consumer Discretionary;HUH1V.HE;Finland,
Kemira;Industrials;KEMIRA.HE;Finland,
Kesko;Consumer Defensive;KESKOB.HE;Finland,
Kojamo;Financials;KOJAMO.HE;Finland,
Kone;Industrials;KNEBV.HE;Finland,
Konecranes;Industrials;KCR.HE;Finland,
Metso Outotec;Industrials;MOCORP.HE;Finland,
Metsä Board;Materials;METSB.HE;Finland,
Neles;Industrials;NELES.HE;Finland,
Neste;Energy;NESTE.HE;Finland,
Nokia;Communication Services;NOKIA.HE;Finland,
Nokian Tyres;Materials;TYRES.HE;Finland,
Nordea AB;Financials;NDA-FI.HE;Finland,
Orion Corporation;Healthcare;ORNBV.HE;Finland,
Outokumpu;Materials;OUT1V.HE;Finland,
Sampo;Financials;SAMPO.HE;Finland,
Stora Enso;Materials;STERV.HE;Finland,
Telia Company;Consumer Discretionary;TELIA1.HE;Finland,
TietoEVRY;Information Technology;TIETO.HE;Finland,
UPM;Materials;UPM.HE;Finland,
Valmet;Consumer Discretionary;VALMT.HE;Finland,
Wärtsilä;Industrials;WRTBF;Finland,
Accor;Consumer Discretionary;AC.PA;France,
Air Liquide;Materials;AI.PA;France,
Airbus;Industrials;AIR.PA;France,
Atos;Information Technology;ATO.PA;France,
AXA;Financials;CS.PA;France,
BNP Paribas;Financials;BNP.PA;France,
Bouygues;Industrials;EN.PA;France,
Capgemini;Information Technology;CAP.PA;France,
Carrefour;Consumer Defensive;CA.PA;France,
Crédit Agricole;Financials;ACA.PA;France,
Danone;Consumer Defensive;BN.PA;France,
Dassault Systèmes;Information Technology;DSY.PA;France,
Engie;Utilities;ENGI.PA;France,
Essilor;Healthcare;EL.PA;France,
Hermès;Consumer Discretionary;RMS.PA;France,
Kering;Consumer Discretionary;KER.PA;France,
L'Oréal;Consumer Defensive;OR.PA;France,
Legrand;Industrials;LR.PA;France,
LVMH;Consumer Discretionary;MC.PA;France,
Michelin;Industrials;ML.PA;France,
Orange;Consumer Discretionary;ORA.PA;France,
Pernod Ricard;Consumer Defensive;RI.PA;France,
PSA;Consumer Discretionary;UG.PA;France,
Publicis;Consumer Discretionary;PUB.PA;France,
Renault;Consumer Discretionary;RNO.PA;France,
Safran;Industrials;SAF.PA;France,
Saint-Gobain;Industrials;SGO.PA;France,
Sanofi;Healthcare;SAN.PA;France,
Schneider Electric;Industrials;SU.PA;France,
Société Générale;Financials;GLE.PA;France,
Sodexo;Industrials;SW.PA;France,
STMicroelectronics;Information Technology;STM.PA;France,
Thales;Industrials;HO.PA;France,
Total;Energy;FP.PA;France,
Veolia;Industrials;VIE.PA;France,
Vinci;Industrials;DG.PA;France,
Vivendi;Consumer Discretionary;VIV.PA;France,
Worldline;Information Technology;WLN.PA;France,
Adidas;Consumer Discretionary;ADS.DE;Germany,
Allianz;Financials;ALV.DE;Germany,
BASF;Materials;BAS.DE;Germany,
Bayer;Healthcare;BAYN.DE;Germany,
Beiersdorf;Consumer Defensive;BEI.DE;Germany,
BMW;Consumer Discretionary;BMW.DE;Germany,
Continental;Consumer Discretionary;CON.DE;Germany,
Covestro;Materials;1COV.DE;Germany,
Daimler;Consumer Discretionary;DAI.DE;Germany,
Delivery Hero;Consumer Defensive;DHER.DE;Germany,
Deutsche Bank;Financials;DBK.DE;Germany,
Deutsche Börse;Financials;DB1.DE;Germany,
Deutsche Post;Industrials;DPW.DE;Germany,
Deutsche Telekom;Consumer Discretionary;DTE.DE;Germany,
Deutsche Wohnen;Real Estate;DWNI.DE;Germany,
E.ON;Utilities;EOAN.DE;Germany,
Fresenius;Healthcare;FRE.DE;Germany,
Fresenius Medical Care;Healthcare;FME.DE;Germany,
HeidelbergCement;Materials;HEI.DE;Germany,
Henkel;Consumer Defensive;HEN3.DE;Germany,
Infineon Technologies;Information Technology;IFX.DE;Germany,
Linde;Materials;LIN.DE;Germany,
Merck;Healthcare;MRK.DE;Germany,
MTU Aero Engines;Industrials;MTX.DE;Germany,
Munich Re;Financials;MUV2.DE;Germany,
RWE;Utilities;RWE.DE;Germany,
SAP;Information Technology;SAP.DE;Germany,
Siemens;Industrials;SIE.DE;Germany,
Volkswagen Group;Consumer Discretionary;VOW3.DE;Germany,
Vonovia;Real Estate;VNA.DE;Germany,
Eik Fasteignafélag;Real Estate;EIK.IC;Iceland,
Festi hf.;Consumer Discretionary;FESTI.IC;Iceland,
Hagar hf.;Consumer Discretionary;HAGA.IC;Iceland,
Icelandair Group;Consumer Discretionary;ICEAIR.IC;Iceland,
Marel hf.;Consumer Discretionary;MAREL.IC;Iceland,
Reginn hf;Real Estate;REGINN.IC;Iceland,
Reitir Fasteignafélag;Real Estate;REITIR.IC;Iceland,
Síminn;Communication Services;SIMINN.IC;Iceland,
PT Kedawung Setia Industrial Tbk;Consumer Discretionary;KDSI.JK;Indonesia,
PT Bank MNC Internasional Tbk;Financials;BABP.JK;Indonesia,
PT Red Planet Indonesia Tbk;Consumer Discretionary;PSKT.JK;Indonesia,
P.T. Bank Pan Indonesia Tbk;Financials;PNBN.JK;Indonesia,
PT Fortune Mate Indonesia Tbk;Real Estate;FMII.JK;Indonesia,
PT Lippo General Insurance Tbk;Financials;LPGI.JK;Indonesia,
Adani Ports;Industrials;ADANIPORTS.NS;India,
Asian Paints;Consumer Defensive;ASIANPAINT.NS;India,
